dimension,n_bins,value_init,readout,balanced_accuracy_clean,auroc_onset,auroc_recovery,auroc_moderate,min_transition_auroc,healthy_holdout_false_trigger_rate,guardrail_pass,encoding_ms_per_window,model_bytes,rank
10000,8,random,prototype,0.7261904761904763,0.71875,0.2638888888888889,0.7206632653061225,0.2638888888888889,0.3942307692307692,False,0.5140289414318951,20000,
5000,8,random,prototype,0.6666666666666666,0.90625,0.1527777777777778,0.7291666666666666,0.1527777777777778,0.39615384615384613,False,0.2759657450584155,10000,
1000,8,random,linear,0.6547619047619048,0.84375,0.4444444444444445,0.6258503401360545,0.4444444444444445,0.35,False,0.06454708058561247,8008,
1000,8,random,prototype,0.6190476190476191,0.875,0.33333333333333337,0.6303854875283446,0.33333333333333337,0.45576923076923076,False,0.06454708058561247,2000,
10000,8,random,linear,0.5952380952380953,0.921875,0.4027777777777778,0.6125283446712018,0.4027777777777778,0.35,False,0.5140289414318951,80008,
1000,16,random,prototype,0.5714285714285714,0.8984375,0.4583333333333333,0.57468820861678,0.4583333333333333,0.47115384615384615,False,0.06659086609291247,2000,
5000,8,random,linear,0.5714285714285714,0.90625,0.3055555555555556,0.578514739229025,0.3055555555555556,0.35384615384615387,False,0.2759657450584155,40008,
1000,16,rff,prototype,0.5476190476190476,0.90625,0.2847222222222222,0.5131802721088435,0.2847222222222222,0.47115384615384615,False,0.06927243973259356,2000,
5000,16,rff,prototype,0.5357142857142857,0.828125,0.29166666666666663,0.5657596371882085,0.29166666666666663,0.4230769230769231,False,0.26903903860193085,10000,
1000,8,rff,prototype,0.5238095238095238,0.7421875,0.3888888888888889,0.598922902494331,0.3888888888888889,0.5115384615384615,False,0.06509847294116063,2000,
5000,16,rff,linear,0.5238095238095238,0.875,0.4027777777777778,0.5493197278911565,0.4027777777777778,0.38076923076923075,False,0.26903903860193085,40008,
10000,16,rff,prototype,0.5238095238095238,0.9375,0.3888888888888889,0.5867346938775511,0.3888888888888889,0.37884615384615383,False,0.5544651742287786,20000,
1000,16,random,linear,0.5119047619047619,0.90625,0.6388888888888888,0.4880952380952381,0.6388888888888888,0.5,False,0.06659086609291247,8008,
1000,16,rff,linear,0.5119047619047619,0.921875,0.6527777777777777,0.5649092970521543,0.6527777777777777,0.4230769230769231,False,0.06927243973259356,8008,
1000,8,rff,linear,0.5,0.9375,0.4444444444444445,0.5252267573696144,0.4444444444444445,0.38076923076923075,False,0.06509847294116063,8008,
10000,16,random,prototype,0.5,0.890625,0.3472222222222222,0.5206916099773242,0.3472222222222222,0.475,False,0.5163829516039592,20000,
5000,8,rff,prototype,0.48809523809523814,0.84375,0.39583333333333337,0.5263605442176871,0.39583333333333337,0.47115384615384615,False,0.2621919796792432,10000,
5000,16,random,prototype,0.4880952380952381,0.84375,0.33333333333333337,0.5369897959183674,0.33333333333333337,0.46153846153846156,False,0.270741532404736,10000,
10000,16,rff,linear,0.44047619047619047,0.9375,0.5277777777777779,0.5187074829931972,0.5277777777777779,0.38846153846153847,False,0.5544651742287786,80008,
5000,16,random,linear,0.41666666666666663,0.984375,0.3055555555555556,0.5252267573696144,0.3055555555555556,0.49038461538461536,False,0.270741532404736,40008,
10000,16,random,linear,0.41666666666666663,0.953125,0.375,0.41638321995464855,0.375,0.47307692307692306,False,0.5163829516039592,80008,
5000,8,rff,linear,0.40476190476190477,0.96875,0.5,0.435374149659864,0.5,0.38076923076923075,False,0.2621919796792432,40008,
10000,8,rff,prototype,0.3928571428571429,0.796875,0.2777777777777778,0.5338718820861678,0.2777777777777778,0.47884615384615387,False,0.5205150436644234,20000,
10000,8,rff,linear,0.38095238095238093,0.875,0.4583333333333333,0.48837868480725627,0.4583333333333333,0.36538461538461536,False,0.5205150436644234,80008,
