calibration_policy,calibration_val_balanced_accuracy,calibration_val_fpr,calibration_val_tpr,encoder_seed,generalization_gap_auroc,generalization_gap_bal_acc,holdout_fpr,linear_c,normalization,readout,test_clean_auroc,test_clean_balanced_accuracy,threshold,train_auroc,train_balanced_accuracy,val_clean_auroc,val_clean_balanced_accuracy,val_moderate_auroc,val_moderate_balanced_accuracy,val_onset_auroc,val_onset_balanced_accuracy,val_recovery_auroc,val_recovery_balanced_accuracy
best_balanced,0.6547619047619048,0.0,0.30952380952380953,223,0.4121315192743764,-0.02777777777777779,0.04807692307692308,0.01,window_zscore,linear,0.6247165532879818,0.5238095238095238,1.8462766742511598,1.0,0.626984126984127,0.5878684807256236,0.6547619047619048,0.5365646258503401,0.5833333333333334,0.875,0.5,0.2361111111111111,0.3472222222222222
fpr_constrained,0.6547619047619048,0.0,0.30952380952380953,223,0.4121315192743764,-0.02777777777777779,0.04807692307692308,0.01,window_zscore,linear,0.6247165532879818,0.5238095238095238,1.8462766742511598,1.0,0.626984126984127,0.5878684807256236,0.6547619047619048,0.5365646258503401,0.5833333333333334,0.875,0.5,0.2361111111111111,0.3472222222222222
best_balanced,0.6547619047619048,0.11904761904761904,0.42857142857142855,323,0.4348072562358276,0.2222222222222222,0.1519230769230769,0.01,window_zscore,linear,0.6609977324263038,0.5595238095238095,1.0346602702962722,1.0,0.876984126984127,0.5651927437641724,0.6547619047619048,0.5507369614512472,0.5773809523809523,0.8125,0.5625,0.4027777777777778,0.4722222222222222
fpr_constrained,0.6547619047619048,0.11904761904761904,0.42857142857142855,323,0.4348072562358276,0.2222222222222222,0.1519230769230769,0.01,window_zscore,linear,0.6609977324263038,0.5595238095238095,1.0346602702962722,1.0,0.876984126984127,0.5651927437641724,0.6547619047619048,0.5507369614512472,0.5773809523809523,0.8125,0.5625,0.4027777777777778,0.4722222222222222
best_balanced,0.6428571428571428,0.023809523809523808,0.30952380952380953,223,0.42743764172335597,0.0277777777777779,0.07115384615384615,0.1,window_zscore,linear,0.586734693877551,0.5238095238095238,3.3728259005500023,1.0,0.6706349206349207,0.572562358276644,0.6428571428571428,0.5187074829931972,0.5773809523809523,0.875,0.5,0.2916666666666667,0.3472222222222222
fpr_constrained,0.6428571428571428,0.023809523809523808,0.30952380952380953,223,0.42743764172335597,0.0277777777777779,0.07115384615384615,0.1,window_zscore,linear,0.586734693877551,0.5238095238095238,3.3728259005500023,1.0,0.6706349206349207,0.572562358276644,0.6428571428571428,0.5187074829931972,0.5773809523809523,0.875,0.5,0.2916666666666667,0.3472222222222222
best_balanced,0.6428571428571428,0.023809523809523808,0.30952380952380953,223,0.43424036281179146,0.03571428571428581,0.07692307692307693,1.0,window_zscore,linear,0.572562358276644,0.5238095238095238,5.136058737392984,1.0,0.6785714285714286,0.5657596371882085,0.6428571428571428,0.5119047619047619,0.5833333333333333,0.890625,0.5,0.2916666666666667,0.3472222222222222
fpr_constrained,0.6428571428571428,0.023809523809523808,0.30952380952380953,223,0.43424036281179146,0.03571428571428581,0.07692307692307693,1.0,window_zscore,linear,0.572562358276644,0.5238095238095238,5.136058737392984,1.0,0.6785714285714286,0.5657596371882085,0.6428571428571428,0.5119047619047619,0.5833333333333333,0.890625,0.5,0.2916666666666667,0.3472222222222222
best_balanced,0.6428571428571428,0.38095238095238093,0.6666666666666666,223,0.23938649533887613,0.1626984126984128,0.4346153846153846,nan,window_zscore,prototype,0.5819160997732425,0.5595238095238095,0.0020000000000000573,0.898400100781053,0.8055555555555556,0.6590136054421769,0.6428571428571428,0.5768140589569161,0.5892857142857143,0.8125,0.75,0.4791666666666667,0.41666666666666663
best_balanced,0.6309523809523809,0.0,0.2619047619047619,123,0.4756235827664399,0.015873015873015928,0.051923076923076926,0.01,window_zscore,linear,0.6496598639455782,0.5595238095238095,1.67825000187632,1.0,0.6468253968253969,0.5243764172335601,0.6309523809523809,0.5184240362811792,0.5654761904761905,0.84375,0.5,0.5555555555555556,0.75
